,place_name,place_link,place_page
276,심심헌,https://place.map.kakao.com/27562153,http://www.simsimheon.com/
277,척화비있던곳,https://place.map.kakao.com/839448202,none
278,만세동방약수터,https://place.map.kakao.com/758535628,none
279,인왕산 해맞이명소,https://place.map.kakao.com/1100668496,none
280,청와대 녹지원,https://place.map.kakao.com/1914942270,https://www.opencheongwadae.kr/main
281,창경궁 문정전,https://place.map.kakao.com/7872875,none
282,경복궁 근정문,https://place.map.kakao.com/8223811,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121108120000
283,진명여중고교터 표시석,https://place.map.kakao.com/1460784039,none
284,구기계곡,https://place.map.kakao.com/25731320,none
285,손병희선생동상,https://place.map.kakao.com/8455738,none
286,체부동홍종문가옥,https://place.map.kakao.com/8100399,"https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=24,00290000,11&pageNo__=5_1_1_0&pageNo=1_1_2_0"
287,창신동인장거리,https://place.map.kakao.com/871317809,none
288,승가사석조승가대사상,https://place.map.kakao.com/26297835,none
289,봉제골목,https://place.map.kakao.com/575737442,none
290,정명당,https://place.map.kakao.com/26419371,none
291,경복궁 협생문,https://place.map.kakao.com/26974306,none
292,경희궁 숭정문,https://place.map.kakao.com/17581529,none
293,창덕궁 희정당,https://place.map.kakao.com/8677489,https://www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=40&check_no=8&c_relation=9&c_relation2=71
294,목은이색선생영당,https://place.map.kakao.com/8339337,none
295,경복궁 자선당,https://place.map.kakao.com/11563060,http://www.royalpalace.go.kr/content/data/data_03_07.asp
296,4.19최초발포현장,https://place.map.kakao.com/854169828,none
297,여행자지원센터 안내소,https://place.map.kakao.com/798012525,https://tiac.or.kr/lang_kr/index.php
298,경복궁 안내소,https://place.map.kakao.com/73190540,https://www.royalpalace.go.kr/content/guide/guide01_tab01.asp
299,서울도보관광코스 1코스(청계천),https://place.map.kakao.com/26558570,none
300,천경자 가옥,https://place.map.kakao.com/1904700552,none
301,치마바위,https://place.map.kakao.com/26324584,none
302,동네골목길관광코스 9코스(종로1.2.3.4가),https://place.map.kakao.com/26558551,none
303,경복궁 사정전,https://place.map.kakao.com/7916535,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121117590000
304,청와대 여민2관,https://place.map.kakao.com/1848013742,none
305,구대한의원 본관,https://place.map.kakao.com/8193790,none
306,서울중심점표지석,https://place.map.kakao.com/1316351823,http://futureheritage.seoul.go.kr/web/investigate/HeritageView.do?htId=202
307,경우궁터,https://place.map.kakao.com/25048901,none
308,백운동천,https://place.map.kakao.com/27455321,none
309,3.1독립운동기념터,https://place.map.kakao.com/901578139,none
310,북인사관광안내소,https://place.map.kakao.com/10739841,http://congoha.cafe24.com/
311,청와대 여민1관,https://place.map.kakao.com/1855789472,none
312,구 평화극장 터,https://place.map.kakao.com/710074354,none
313,한성부 중부관아터,https://place.map.kakao.com/775389074,none
